,Scores
Area Under the Curve (AUC),0.9809399116558883
Average Precision,0.9699464728003234
Accuracy Score,0.9812602965403624
Recall Score,0.977088948787062
Precision Score,0.981941309255079
F1 Score,0.979509119567665
