,Scores
Area Under the Curve (AUC),0.9675558273501562
Average Precision,0.9371594430717792
Accuracy Score,0.966248199217946
Recall Score,0.9834006280843428
Precision Score,0.9452350150927123
F1 Score,0.9639401934916447
